60 : 1.0, 40 : 0.05630614214451649, 20 : 0.00688854754878224, Accel60 : 0.9405615074022533, Accel40 : 0.052959389931451974, Accel20 : 0.006479102666294721, Lidar60 : 0.9405615074022533, Lidar40 : 0.052959389931451974, Lidar20 : 0.006479102666294721, currentmodeloutputAccel : 357.42809139807486, currentmodeloutputLidar : 2593.022944407224, currentmeanoutputAccel : 154.7136267025722, currentmeanoutputLidar : 2700.7551470090584, meanAccel100 : 143.55882022838404, meanLidar100 : 2636.141318823519
60 : 1.0, 40 : 0.05630614214451649, 20 : 0.00688854754878224, Accel60 : 0.9405615074022533, Accel40 : 0.052959389931451974, Accel20 : 0.006479102666294721, Lidar60 : 0.9405615074022533, Lidar40 : 0.052959389931451974, Lidar20 : 0.006479102666294721, currentmodeloutputAccel : 110.85261221912184, currentmodeloutputLidar : 2634.827462539366, currentmeanoutputAccel : 154.70778012639474, currentmeanoutputLidar : 2700.7463589945996, meanAccel100 : 144.65526626095772, meanLidar100 : 2636.3802017842745
60 : 1.0, 40 : 0.05630614214451649, 20 : 0.00688854754878224, Accel60 : 0.9405615074022533, Accel40 : 0.052959389931451974, Accel20 : 0.006479102666294721, Lidar60 : 0.9405615074022533, Lidar40 : 0.052959389931451974, Lidar20 : 0.006479102666294721, currentmodeloutputAccel : 393.957792017179, currentmodeloutputLidar : 2622.8833145016106, currentmeanoutputAccel : 154.7396673730815, currentmeanoutputLidar : 2700.7359814063693, meanAccel100 : 146.7557240465562, meanLidar100 : 2636.5593640048405
60 : 1.0, 40 : 0.05630614214451649, 20 : 0.00688854754878224, Accel60 : 0.9405615074022533, Accel40 : 0.052959389931451974, Accel20 : 0.006479102666294721, Lidar60 : 0.9405615074022533, Lidar40 : 0.052959389931451974, Lidar20 : 0.006479102666294721, currentmodeloutputAccel : 129.11746252867388, currentmodeloutputLidar : 2622.8833145016106, currentmeanoutputAccel : 154.73625290015445, currentmeanoutputLidar : 2700.7256065840206, meanAccel100 : 145.8729229482612, meanLidar100 : 2636.678805485218
60 : 1.0, 40 : 0.05630614214451649, 20 : 0.00688854754878224, Accel60 : 0.9405615074022533, Accel40 : 0.052959389931451974, Accel20 : 0.006479102666294721, Lidar60 : 0.9405615074022533, Lidar40 : 0.052959389931451974, Lidar20 : 0.006479102666294721, currentmodeloutputAccel : 132.1616042469326, currentmodeloutputLidar : 2598.9950184261, currentmeanoutputAccel : 154.73324495229926, currentmeanoutputLidar : 2700.712051542294, meanAccel100 : 145.47718452488755, meanLidar100 : 2636.5593640048405
60 : 1.0, 40 : 0.05630614214451649, 20 : 0.00688854754878224, Accel60 : 0.9405615074022533, Accel40 : 0.052959389931451974, Accel20 : 0.006479102666294721, Lidar60 : 0.9405615074022533, Lidar40 : 0.052959389931451974, Lidar20 : 0.006479102666294721, currentmodeloutputAccel : 1.2080089617529923, currentmodeloutputLidar : 2610.939166463856, currentmeanoutputAccel : 154.71279128376867, currentmeanoutputLidar : 2700.7000913924035, meanAccel100 : 145.47718452488755, meanLidar100 : 2636.6190847450293
60 : 1.0, 40 : 0.05630614214451649, 20 : 0.00688854754878224, Accel60 : 0.9405615074022533, Accel40 : 0.052959389931451974, Accel20 : 0.006479102666294721, Lidar60 : 0.9405615074022533, Lidar40 : 0.052959389931451974, Lidar20 : 0.006479102666294721, currentmodeloutputAccel : 34.749069262654864, currentmodeloutputLidar : 2604.9670924449783, currentmeanoutputAccel : 154.6968110357307, currentmeanoutputLidar : 2700.6873388948743, meanAccel100 : 145.81259512789657, meanLidar100 : 2636.4996432646517
60 : 1.0, 40 : 0.05630614214451649, 20 : 0.00688854754878224, Accel60 : 0.9405615074022533, Accel40 : 0.052959389931451974, Accel20 : 0.006479102666294721, Lidar60 : 0.9405615074022533, Lidar40 : 0.052959389931451974, Lidar20 : 0.006479102666294721, currentmodeloutputAccel : 1.2080089617529923, currentmodeloutputLidar : 2604.9670924449783, currentmeanoutputAccel : 154.67636766837936, currentmeanoutputLidar : 2700.6745897943883, meanAccel100 : 145.65983302798307, meanLidar100 : 2636.3802017842745
60 : 1.0, 40 : 0.05630614214451649, 20 : 0.00688854754878224, Accel60 : 0.9405615074022533, Accel40 : 0.052959389931451974, Accel20 : 0.006479102666294721, Lidar60 : 0.9405615074022533, Lidar40 : 0.052959389931451974, Lidar20 : 0.006479102666294721, currentmodeloutputAccel : 826.2259160099114, currentmodeloutputLidar : 2634.827462539366, currentmeanoutputAccel : 154.76580028901344, currentmeanoutputLidar : 2700.665820700334, meanAccel100 : 151.1088467036661, meanLidar100 : 2636.6190847450293
60 : 1.0, 40 : 0.05630614214451649, 20 : 0.00688854754878224, Accel60 : 0.9405615074022533, Accel40 : 0.052959389931451974, Accel20 : 0.006479102666294721, Lidar60 : 0.9405615074022533, Lidar40 : 0.052959389931451974, Lidar20 : 0.006479102666294721, currentmodeloutputAccel : 13.440077234844106, currentmodeloutputLidar : 2616.911240482734, currentmeanoutputAccel : 154.74698195039105, currentmeanoutputLidar : 2700.6546682928483, meanAccel100 : 151.23116738639703, meanLidar100 : 2636.738526225407
60 : 1.0, 40 : 0.05630614214451649, 20 : 0.00688854754878224, Accel60 : 0.9405615074022533, Accel40 : 0.052959389931451974, Accel20 : 0.006479102666294721, Lidar60 : 0.9405615074022533, Lidar40 : 0.052959389931451974, Lidar20 : 0.006479102666294721, currentmodeloutputAccel : 1.2080089617529923, currentmodeloutputLidar : 2622.8833145016106, currentmeanoutputAccel : 154.72654006875229, currentmeanoutputLidar : 2700.644313965356, meanAccel100 : 147.57764231048606, meanLidar100 : 2636.798246965596
60 : 1.0, 40 : 0.05630614214451649, 20 : 0.00688854754878224, Accel60 : 0.9405615074022533, Accel40 : 0.052959389931451974, Accel20 : 0.006479102666294721, Lidar60 : 0.9405615074022533, Lidar40 : 0.052959389931451974, Lidar20 : 0.006479102666294721, currentmodeloutputAccel : 226.5299975129516, currentmodeloutputLidar : 2628.8553885204888, currentmeanoutputAccel : 154.73609856947704, currentmeanoutputLidar : 2700.6347573991366, meanAccel100 : 149.83086219599804, meanLidar100 : 2636.9176884459735
60 : 1.0, 40 : 0.05630614214451649, 20 : 0.00688854754878224, Accel60 : 0.9405615074022533, Accel40 : 0.052959389931451974, Accel20 : 0.006479102666294721, Lidar60 : 0.9405615074022533, Lidar40 : 0.052959389931451974, Lidar20 : 0.006479102666294721, currentmodeloutputAccel : 156.51473799300197, currentmodeloutputLidar : 2634.827462539366, currentmeanoutputAccel : 154.7363353110481, currentmeanoutputLidar : 2700.625998275636, meanAccel100 : 151.2920502207622, meanLidar100 : 2637.0968506665395
60 : 1.0, 40 : 0.05630614214451649, 20 : 0.00688854754878224, Accel60 : 0.9405615074022533, Accel40 : 0.052959389931451974, Accel20 : 0.006479102666294721, Lidar60 : 0.9405615074022533, Lidar40 : 0.052959389931451974, Lidar20 : 0.006479102666294721, currentmodeloutputAccel : 713.5926724343402, currentmodeloutputLidar : 2640.7995365582437, currentmeanoutputAccel : 154.8107106553552, currentmeanoutputLidar : 2700.618036276472, meanAccel100 : 158.41589685548806, meanLidar100 : 2637.3357336272948
60 : 1.0, 40 : 0.05630614214451649, 20 : 0.00688854754878224, Accel60 : 0.9405615074022533, Accel40 : 0.052959389931451974, Accel20 : 0.006479102666294721, Lidar60 : 0.9405615074022533, Lidar40 : 0.052959389931451974, Lidar20 : 0.006479102666294721, currentmodeloutputAccel : 22.572502389620144, currentmodeloutputLidar : 2640.7995365582437, currentmeanoutputAccel : 154.793114087389, currentmeanoutputLidar : 2700.6100763962704, meanAccel100 : 157.8679513462015, meanLidar100 : 2637.6940580684272
